sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
158023,https://sofifa.com/player/158023/lionel-messi/15/157759,L. Messi,Lionel Andrés Messi Cuccittini,27,1987-06-24,169,67,Argentina,FC Barcelona,93,95,0,0,CF,Left,5,3,4,Medium/Low,Normal,Yes,,"#Speedster, #Dribbler, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",CF,10,,2004-07-01,2018,CF,10,93,89,86,96,27,63,,,,,,,"Finesse Shot, Speed Dribbler (CPU AI Only), One Club Player, Team Player",84,94-3,71,89,85-5,96-1,89+2,90+4,76,96,96,90+2,94,94-2,95,80-1,73,77-1,60,88,48,22,92-1,90,76,,25,21,20,6,11,15,14,8,89+3,89+3,89+3,92+3,90+3,90+3,90+3,92+3,92+3,92+3,92+3,90+3,79+3,79+3,79+3,90+3,62+3,62+3,62+3,62+3,62+3,54+3,45+3,45+3,45+3,54+3
20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/15/157759,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,29,1985-02-05,185,80,Portugal,Real Madrid,92,92,0,0,"LW, LM",Right,5,4,5,High/Low,Normal,Yes,,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,7,,2009-07-01,2018,LW,7,93,93,81,91,32,79,,,,,,,"Power Free-Kick, Flair, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only)",83,95+3,86,82,87+2,93+3,88,79,72,92-3,91,94,93,90,63-12,94,94,89,79,93,63,24,91+2,81,85,,22,31,23,7,11,15,14,11,91+3,91+3,91+3,89+3,91+3,91+3,91+3,89+3,89+3,89+3,89+3,87+3,77+3,77+3,77+3,87+3,63+3,63+3,63+3,63+3,63+3,57+3,52+3,52+3,52+3,57+3
9014,https://sofifa.com/player/9014/arjen-robben/15/157759,A. Robben,Arjen Robben,30,1984-01-23,180,80,Netherlands,FC Bayern München,90,90,0,0,"RM, LM, RW",Left,5,2,4,High/Low,Normal,Yes,,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat",SUB,10,,2009-08-28,2017,RS,11,93,86,83,92,32,64,,,,,,,"Diver, Injury Prone, Avoids Using Weaker Foot, Selfish, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Chip Shot (CPU AI Only)",80,85+2,50,86+2,86+2,93,85,83-1,76+3,90+1,93,93+2,93+1,89+2,91,86,61,78+11,65,90+1,47+9,39+1,89+2,84+2,80+1,,29,26+2,26+1,10,8,11,5,15,84+3,84+3,84+3,88+3,87+3,87+3,87+3,88+3,88+3,88+3,88+3,87+3,78+3,78+3,78+3,87+3,64+3,64+3,64+3,64+3,64+3,55+3,46+3,46+3,46+3,55+3
41236,https://sofifa.com/player/41236/zlatan-ibrahimovic/15/157759,Z. Ibrahimović,Zlatan Ibrahimović,32,1981-10-03,195,95,Sweden,Paris Saint-Germain,90,90,0,0,ST,Right,5,4,4,Medium/Low,Normal,Yes,,"#Poacher, #Aerial Threat, #Distance Shooter, #Acrobat, #Strength, #Clinical Finisher, #Complete Forward",ST,10,,2012-07-01,2016,ST,10,76,91,81,86,34,86,,,,,,,"Power Free-Kick, Leadership, Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",76,91,76,84-2,92+3,88,80,80,76+4,90,74+2,77-1,86,85,41,93,72,78,93,88,84,20,86,83-1,91,,25,41-8,27,13,15,10,9,12,87+3,87+3,87+3,84+3,86+3,86+3,86+3,84+3,86+3,86+3,86+3,83+3,76+3,76+3,76+3,83+3,61+3,65+3,65+3,65+3,61+3,56+3,55+3,55+3,55+3,56+3
167495,https://sofifa.com/player/167495/manuel-neuer/15/157759,M. Neuer,Manuel Neuer,28,1986-03-27,193,92,Germany,FC Bayern München,90,90,0,0,GK,Right,5,4,1,Medium/Medium,Normal,Yes,,,GK,1,,2011-07-01,2019,GK,1,,,,,,,87,85,92,86,60,90,"GK Up for Corners, GK Long Throw, 1-on-1 Rush",25,25,25,42,25,25,25,25,41,31,58+8,61+7,43+4,89+3,35,42,78,44+9,83+5,25,29+3,30+8,25,20,37,,25,25,25,87,85+3,92,90+6,86,,,,,,,,,,,,,,,,,,,,,,,,,,
176580,https://sofifa.com/player/176580/luis-suarez/15/157759,L. Suárez,Luis Alberto Suárez Díaz,27,1987-01-24,181,81,Uruguay,FC Barcelona,89,91,0,0,"ST, CF",Right,5,4,4,High/Medium,Normal,Yes,,"#Acrobat, #Clinical Finisher",RES,9,,2014-07-11,2019,,,83,87,79,88,42,79,,,,,,,"Diver, Beat Offside Trap, Selfish, Flair, Technical Dribbler (CPU AI Only)",77,91+2,75,82,85,90-2,86,84,64,89,88,79,86,91+2,60-25,84,69,86,76,82-2,78,41,88+2,84,85,,30,45,38,27,25,31,33,37,86+3,86+3,86+3,85+3,86+3,86+3,86+3,85+3,87+3,87+3,87+3,84+3,77+3,77+3,77+3,84+3,67+3,67+3,67+3,67+3,67+3,62+3,57+3,57+3,57+3,62+3
183277,https://sofifa.com/player/183277/eden-hazard/15/157759,E. Hazard,Eden Hazard,23,1991-01-07,173,74,Belgium,Chelsea,88,90,0,0,"LM, RM",Right,4,4,4,High/Medium,Normal,Yes,,"#Speedster, #Dribbler, #Acrobat",LM,10,,2012-07-01,2017,LM,10,90,82,84,91,32,64,,,,,,,"Injury Free, Selfish, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",78-4,83,57,87+1,79,92+2,82,79,82,89,93+2,87,92,85+1,90,79,59,74+1,63,82,54,41,84,86+1,86+1,,25,27,22,11,12,6,8,8,81+2,81+2,81+2,86+2,84+2,84+2,84+2,86+2,87+2,87+2,87+2,86+2,78+2,78+2,78+2,86+2,62+2,64+2,64+2,64+2,62+2,54+2,46+2,46+2,46+2,54+2
7826,https://sofifa.com/player/7826/robin-van-persie/15/157759,R. van Persie,Robin van Persie,30,1983-08-06,187,71,Netherlands,Manchester United,88,88,0,0,ST,Left,5,3,4,Medium/Low,Normal,Yes,,"#Distance Shooter, #Clinical Finisher",RS,20,,2012-08-17,2016,LS,9,74,90,82,83,33,68,,,,,,,"Injury Prone, Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",81,91,73,85,92,84,86,81,75,87-1,73-1,74-1,80-1,88+1,59,90,59,72,72,86-1,55,34,90,82,86,,23,32,21,9,10,5,7,8,85+3,85+3,85+3,84+3,86+3,86+3,86+3,84+3,85+3,85+3,85+3,82+3,76+3,76+3,76+3,82+3,60+3,63+3,63+3,63+3,60+3,54+3,48+3,48+3,48+3,54+3
121944,https://sofifa.com/player/121944/bastian-schweinsteiger/15/157759,B. Schweinsteiger,Bastian Schweinsteiger,29,1984-08-01,183,79,Germany,FC Bayern München,88,88,0,0,"CM, CDM",Right,4,3,3,High/High,Normal,Yes,,"#Playmaker  , #Engine, #Tactician ",SUB,31,,2002-07-01,2016,SUB,7,61,81,85,82,78,80,,,,,,,"Injury Prone, Leadership, Playmaker (CPU AI Only), One Club Player",81,76+2,79+1,88-1,83-1,81-1,82-1,78,87,86,58-1,64,74-1,90,75-1,86,82+7,86,77+1,86,80+1,86,82,86,81,,69+1,80+1,77,14,14,13,13,11,80+2,80+2,80+2,80+2,82+2,82+2,82+2,80+2,84+2,84+2,84+2,82+2,86+2,86+2,86+2,82+2,81+2,84+2,84+2,84+2,81+2,81+2,79+2,79+2,79+2,81+2
156616,https://sofifa.com/player/156616/franck-ribery/15/157759,F. Ribéry,Franck Bilal Ribéry,31,1983-04-07,170,72,France,FC Bayern München,88,88,0,0,LM,Right,4,4,5,High/Medium,Normal,Yes,,"#Dribbler, #Acrobat",SUB,7,,2007-07-01,2017,,,89,78,85,92,29,62,,,,,,,"Injury Prone, Flair, Speed Dribbler (CPU AI Only)",83,79,41,89,81,92,84-2,81,74+2,91-1,91-1,87-1,92,89-1,92,76,51-2,72,62-2,73-1,52,36,83,88,80,,25,25,26,15,6,9,7,10,79+2,79+2,79+2,87+2,82+2,82+2,82+2,87+2,87+2,87+2,87+2,86+2,77+2,77+2,77+2,86+2,63+2,63+2,63+2,63+2,63+2,53+2,44+2,44+2,44+2,53+2
167397,https://sofifa.com/player/167397/radamel-falcao-garcia-zarate/15/157759,Falcao,Radamel Falcao García Zárate,28,1986-02-10,177,72,Colombia,Manchester United,88,88,0,0,ST,Right,4,4,4,High/Medium,Normal,Yes,,#Aerial Threat,SUB,9,AS Monaco,,2015,ST,9,77,86,64,81,40,73,,,,,,,"Finesse Shot, Power Header",55,91-2,94-1,69,90-3,78,83,71,53,83-2,80,75-2,85,89-1,75,79-1,93,71,74,77-2,70,41,92-1,68,87,,25,42,25,10,13,6,9,5,86+2,86+2,86+2,76+2,83+2,83+2,83+2,76+2,79+2,79+2,79+2,73+2,69+2,69+2,69+2,73+2,58+2,60+2,60+2,60+2,58+2,56+2,55+2,55+2,55+2,56+2
173731,https://sofifa.com/player/173731/gareth-bale/15/157759,G. Bale,Gareth Frank Bale,24,1989-07-16,183,74,Wales,Real Madrid,87,91,0,0,"RM, RW",Left,4,3,4,High/Medium,Lean,Yes,,"#Speedster, #Distance Shooter",RW,11,,2013-09-02,2019,RM,11,94,83,83,84,63,81,,,,,,,"Avoids Using Weaker Foot, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Chip Shot (CPU AI Only)",84,81-3,74,84+1,76,87+1,87,85,80-1,85,93+1,95+1,77,84,65,87,67-1,90,79,88,77,59-8,83,79-1,76,,60-8,65-8,62-10,15,15,11,5,6,83+2,83+2,83+2,85+2,85+2,85+2,85+2,85+2,84+2,84+2,84+2,85+2,81+2,81+2,81+2,85+2,76+2,75+2,75+2,75+2,76+2,74+2,70+2,70+2,70+2,74+2
188545,https://sofifa.com/player/188545/robert-lewandowski/15/157759,R. Lewandowski,Robert Lewandowski,25,1988-08-21,184,78,Poland,FC Bayern München,87,89,0,0,"ST, CF",Right,4,4,4,High/Medium,Normal,Yes,,#Clinical Finisher,LS,9,,2014-07-01,2019,LS,9,80,84,74,85,39,78,,,,,,,"Injury Free, Chip Shot (CPU AI Only)",62,87,83,83+1,82,84,77+2,68+2,65,87+1,79-2,81,80,88+1,81-1,84+3,83-1,75-1,79-2,80,80,39,87+1,78,77+3,,25,42,25,15,6,12,8,10,85+2,85+2,85+2,80+2,84+2,84+2,84+2,80+2,84+2,84+2,84+2,79+2,75+2,75+2,75+2,79+2,61+2,65+2,65+2,65+2,61+2,58+2,56+2,56+2,56+2,58+2
121939,https://sofifa.com/player/121939/philipp-lahm/15/157759,P. Lahm,Philipp Lahm,30,1983-11-11,170,66,Germany,FC Bayern München,87,87,0,0,"CDM, RB, CM",Right,4,3,3,High/High,Normal,Yes,,"#Engine, #Tackling , #Tactician ",RCM,21,,2002-11-01,2018,,,76,56,84,83,87,67,,,,,,,"Injury Free, Dives Into Tackles (CPU AI Only), Leadership, One Club Player",84-4,47+3,64,88,66,80,77,59,84,85-1,77-5,76-1,83,92,92,57,72-1,88,59,65,58+1,93+1,69+4,84-1,72+3,,87+1,88,95+1,11,12,5,14,5,67+2,67+2,67+2,80+2,72+2,72+2,72+2,80+2,79+2,79+2,79+2,83+2,84+2,84+2,84+2,83+2,88+2,85+2,85+2,85+2,88+2,85+2,81+2,81+2,81+2,85+2
155862,https://sofifa.com/player/155862/sergio-ramos-garcia/15/157759,Sergio Ramos,Sergio Ramos García,28,1986-03-30,183,75,Spain,Real Madrid,87,87,0,0,CB,Right,4,3,3,High/Medium,Normal,Yes,,"#Tackling , #Tactician ",LCB,4,,2005-08-01,2017,LCB,15,79,61,71,66,87,82,,,,,,,"Leadership, Power Header",74,59,86,76,55,52-14,73,64+2,70,83+1,79-2,79,84,82,60,71,91,82,80,55,83,87,52,63,68+2,,85+2,89+3,90+2,11,8,9,7,11,68+2,68+2,68+2,70+2,67+2,67+2,67+2,70+2,68+2,68+2,68+2,71+2,72+2,72+2,72+2,71+2,81+2,80+2,80+2,80+2,81+2,84+2,85+2,85+2,85+2,84+2
